"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testCountWordsWithNull","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","RavilovaTest.RavilovaTest","RavilovaTest.RavilovaTest","testCountWordsWithNull"
"","3","testSnakeParameterizedApple","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ZolinaTest.SnakeTest","ZolinaTest.SnakeTest","testSnakeParameterizedApple"
"","1","testSetAgeCorrect","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","stebunov.WolfTests","stebunov.WolfTests","testSetAgeCorrect"
"","14","testStudentInfo_ReturnsNotCorrectCourse","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.StudentInfoTests","gusevtests.StudentInfoTests","testStudentInfo_ReturnsNotCorrectCourse"
"","1","GetKittensTest","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","irinabigtests.FelineTests","irinabigtests.FelineTests","GetKittensTest"
"","0","testIsAdult","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","BuravlevTest.BuravlevTest","BuravlevTest.BuravlevTest","testIsAdult"
"","0","checkBirthdayReturnsAgeTest[2]","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CheckBirthdayTests","gusevtests.CheckBirthdayTests","checkBirthdayReturnsAgeTest[2]"
"","0","testGenerateEvenNumbersZeroInput","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","yakimovichTests.CalculateTests","yakimovichTests.CalculateTests","testGenerateEvenNumbersZeroInput"
"","0","testInitialValues","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","petrovTests.petrovTest","petrovTests.petrovTest","testInitialValues"
"","1","testGenerateRandomArray","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","FokinTests.FokinTests","FokinTests.FokinTests","testGenerateRandomArray"
"","1","testSetWeight","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ChernyshovaTests.MouseTest","ChernyshovaTests.MouseTest","testSetWeight"
"","10","testEatIncreasesWeight","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","StrelnikovTests.StrelnikovTests","StrelnikovTests.StrelnikovTests","testEatIncreasesWeight"
"","0","testSubtract","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","yakimovichTests.CalculateTests","yakimovichTests.CalculateTests","testSubtract"
"","0","testCalculateCourse_18To19Age_ReturnsTwo","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","gusevtests.CalculateCourseTests","gusevtests.CalculateCourseTests","testCalculateCourse_18To19Age_ReturnsTwo"
"","0","testHissMethod","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ZolinaTest.SnakeTest","ZolinaTest.SnakeTest","testHissMethod"
"","0","testAddNegativeNumbers","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","BaranovTest.BaranovTest","BaranovTest.BaranovTest","testAddNegativeNumbers"
"","0","GetFieldDefaultPerson","","Tue Dec 17 18:45:03 MSK 2024","passed","Tue Dec 17 18:45:03 MSK 2024","","BaoTest.BaoTests","BaoTest.BaoTests","GetFieldDefaultPerson"
"","0","testCustomMouse","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ChernyshovaTests.MouseTest","ChernyshovaTests.MouseTest","testCustomMouse"
"","0","testFindMaxWithSingleElement","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","RavilovaTest.RavilovaTest","RavilovaTest.RavilovaTest","testFindMaxWithSingleElement"
"","0","testSnakeDefaultKind","","Tue Dec 17 18:45:04 MSK 2024","passed","Tue Dec 17 18:45:04 MSK 2024","","ZolinaTest.SnakeTest","ZolinaTest.SnakeTest","testSnakeDefaultKind"
